[2023-11-28 02:04:05] Epoch 343/500 | Discriminator Loss: 0.000000 | Generator Loss: 52.387650
[2023-11-28 02:04:52] Epoch 344/500 | Discriminator Loss: 0.000000 | Generator Loss: 51.661888
[2023-11-28 02:05:40] Epoch 345/500 | Discriminator Loss: 0.000000 | Generator Loss: 53.647545
[2023-11-28 02:06:28] Epoch 346/500 | Discriminator Loss: 0.000000 | Generator Loss: 51.178715
[2023-11-28 02:07:15] Epoch 347/500 | Discriminator Loss: 0.000000 | Generator Loss: 49.098213
[2023-11-28 02:08:03] Epoch 348/500 | Discriminator Loss: 0.000000 | Generator Loss: 56.527496
[2023-11-28 02:08:50] Epoch 349/500 | Discriminator Loss: 0.000000 | Generator Loss: 50.012032
[2023-11-28 02:09:38] Epoch 350/500 | Discriminator Loss: 0.000000 | Generator Loss: 53.633018
[2023-11-28 02:10:25] Epoch 351/500 | Discriminator Loss: 0.000000 | Generator Loss: 52.581200
[2023-11-28 02:11:13] Epoch 352/500 | Discriminator Loss: 0.000000 | Generator Loss: 54.380417
[2023-11-28 02:12:01] Epoch 353/500 | Discriminator Loss: 0.000000 | Generator Loss: 53.168556
[2023-11-28 02:12:49] Epoch 354/500 | Discriminator Loss: 0.000000 | Generator Loss: 54.283066
[2023-11-28 02:13:37] Epoch 355/500 | Discriminator Loss: 0.000000 | Generator Loss: 49.489265
[2023-11-28 02:14:24] Epoch 356/500 | Discriminator Loss: 0.000000 | Generator Loss: 53.411636
[2023-11-28 02:15:12] Epoch 357/500 | Discriminator Loss: 0.000000 | Generator Loss: 51.004135
[2023-11-28 02:16:00] Epoch 358/500 | Discriminator Loss: 0.000000 | Generator Loss: 52.405800
[2023-11-28 02:16:47] Epoch 359/500 | Discriminator Loss: 0.000001 | Generator Loss: 52.323662
[2023-11-28 02:17:35] Epoch 360/500 | Discriminator Loss: 0.000000 | Generator Loss: 49.313343
[2023-11-28 02:18:23] Epoch 361/500 | Discriminator Loss: 0.000000 | Generator Loss: 53.261765
[2023-11-28 02:19:11] Epoch 362/500 | Discriminator Loss: 0.000000 | Generator Loss: 54.383377
[2023-11-28 02:19:59] Epoch 363/500 | Discriminator Loss: 0.000001 | Generator Loss: 53.391479
[2023-11-28 02:20:46] Epoch 364/500 | Discriminator Loss: 0.000000 | Generator Loss: 51.658600
[2023-11-28 02:21:34] Epoch 365/500 | Discriminator Loss: 0.000000 | Generator Loss: 56.256218
[2023-11-28 02:22:21] Epoch 366/500 | Discriminator Loss: 0.000000 | Generator Loss: 48.825577
[2023-11-28 02:23:08] Epoch 367/500 | Discriminator Loss: 0.000002 | Generator Loss: 50.442013
[2023-11-28 02:23:56] Epoch 368/500 | Discriminator Loss: 0.000000 | Generator Loss: 47.091038
[2023-11-28 02:24:44] Epoch 369/500 | Discriminator Loss: 0.000000 | Generator Loss: 54.324234
[2023-11-28 02:25:31] Epoch 370/500 | Discriminator Loss: 0.000000 | Generator Loss: 54.894951
[2023-11-28 02:26:19] Epoch 371/500 | Discriminator Loss: 0.000000 | Generator Loss: 48.631809
[2023-11-28 02:27:07] Epoch 372/500 | Discriminator Loss: 0.000000 | Generator Loss: 50.808197
[2023-11-28 02:27:54] Epoch 373/500 | Discriminator Loss: 0.000000 | Generator Loss: 49.987663
[2023-11-28 02:28:42] Epoch 374/500 | Discriminator Loss: 0.000000 | Generator Loss: 53.470497
[2023-11-28 02:29:30] Epoch 375/500 | Discriminator Loss: 0.000000 | Generator Loss: 55.882820
[2023-11-28 02:30:17] Epoch 376/500 | Discriminator Loss: 0.000000 | Generator Loss: 56.412239
[2023-11-28 02:31:04] Epoch 377/500 | Discriminator Loss: 0.000000 | Generator Loss: 53.312874
[2023-11-28 02:31:52] Epoch 378/500 | Discriminator Loss: 0.000000 | Generator Loss: 50.804546
[2023-11-28 02:32:39] Epoch 379/500 | Discriminator Loss: 0.000000 | Generator Loss: 51.963638
[2023-11-28 02:33:28] Epoch 380/500 | Discriminator Loss: 0.000000 | Generator Loss: 55.584114
[2023-11-28 02:34:15] Epoch 381/500 | Discriminator Loss: 0.000000 | Generator Loss: 55.249043
[2023-11-28 02:35:03] Epoch 382/500 | Discriminator Loss: 0.000000 | Generator Loss: 50.308327
[2023-11-28 02:35:50] Epoch 383/500 | Discriminator Loss: 0.000000 | Generator Loss: 54.765007
[2023-11-28 02:36:38] Epoch 384/500 | Discriminator Loss: 0.000000 | Generator Loss: 50.713558
[2023-11-28 02:37:25] Epoch 385/500 | Discriminator Loss: 0.000000 | Generator Loss: 54.489098
